epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
274,641.732,0.1052,0.58716,1,2.14282,0.0072973,0.0072973,0.0072973
275,643.905,0.12963,0.6055,1,2.52319,0.0072874,0.0072874,0.0072874
276,646.17,0.11645,0.58716,1,2.19971,0.0072775,0.0072775,0.0072775
277,648.391,0.10974,0.62385,1,2.31787,0.0072676,0.0072676,0.0072676
278,650.62,0.14622,0.57798,1,1.90942,0.0072577,0.0072577,0.0072577
279,652.799,0.11338,0.55963,1,1.96924,0.0072478,0.0072478,0.0072478
280,654.995,0.12823,0.56881,1,2.45557,0.0072379,0.0072379,0.0072379
281,657.316,0.10953,0.6055,1,2.39917,0.007228,0.007228,0.007228
282,659.549,0.14335,0.61468,1,2.19165,0.0072181,0.0072181,0.0072181
283,661.716,0.1361,0.57798,1,2.0127,0.0072082,0.0072082,0.0072082
284,663.905,0.10218,0.56881,1,2.01221,0.0071983,0.0071983,0.0071983
285,666.074,0.14838,0.58716,1,2.07178,0.0071884,0.0071884,0.0071884
286,668.322,0.10088,0.56881,1,2.0022,0.0071785,0.0071785,0.0071785
287,670.529,0.12704,0.55046,1,1.96741,0.0071686,0.0071686,0.0071686
288,672.739,0.10381,0.56881,1,2.17212,0.0071587,0.0071587,0.0071587
289,674.908,0.11455,0.58716,1,2.26245,0.0071488,0.0071488,0.0071488
290,677.149,0.14486,0.56881,1,2.12646,0.0071389,0.0071389,0.0071389
291,679.351,0.1039,0.56881,1,1.86841,0.007129,0.007129,0.007129
292,681.512,0.11195,0.59633,1,1.91736,0.0071191,0.0071191,0.0071191
293,683.672,0.08735,0.55963,1,2.1167,0.0071092,0.0071092,0.0071092
294,685.865,0.0988,0.57798,1,2.03052,0.0070993,0.0070993,0.0070993
295,688.076,0.09699,0.55046,1,2.44751,0.0070894,0.0070894,0.0070894
